2025-07-08 17:03:58,544 - INFO - Извлечено 420 записей из OlapCube_VNV и 185 записей из Vygruzka.
2025-07-08 17:03:58,544 - WARNING - Пропускаем запись с serialno: S122, начинается на 'S'.
2025-07-08 17:03:58,545 - WARNING - Пропускаем запись с serialno: S29, начинается на 'S'.
2025-07-08 17:03:58,545 - WARNING - Пропускаем запись с serialno: S24, начинается на 'S'.
2025-07-08 17:03:58,546 - WARNING - Пропускаем запись с serialno: S92, начинается на 'S'.
2025-07-08 17:03:58,546 - WARNING - Пропускаем запись с serialno: S67, начинается на 'S'.
2025-07-08 17:03:58,547 - WARNING - Пропускаем запись с serialno: S180, начинается на 'S'.
2025-07-08 17:03:58,547 - WARNING - Пропускаем запись с serialno: S221, начинается на 'S'.
2025-07-08 17:03:58,547 - WARNING - Пропускаем запись с serialno: S150, начинается на 'S'.
2025-07-08 17:03:58,548 - WARNING - Пропускаем запись с serialno: S40, начинается на 'S'.
2025-07-08 17:03:58,548 - WARNING - Пропускаем запись с serialno: S70, начинается на 'S'.
2025-07-08 17:03:58,549 - WARNING - Пропускаем запись с serialno: S121, начинается на 'S'.
2025-07-08 17:03:58,549 - WARNING - Пропускаем запись с serialno: S57, начинается на 'S'.
2025-07-08 17:03:58,549 - WARNING - Пропускаем запись с serialno: S183, начинается на 'S'.
2025-07-08 17:03:58,550 - WARNING - Пропускаем запись с serialno: S88, начинается на 'S'.
2025-07-08 17:03:58,550 - WARNING - Пропускаем запись с serialno: S14, начинается на 'S'.
2025-07-08 17:03:58,550 - WARNING - Пропускаем запись с serialno: S85, начинается на 'S'.
2025-07-08 17:03:58,551 - WARNING - Пропускаем запись с serialno: S19, начинается на 'S'.
2025-07-08 17:03:58,551 - WARNING - Пропускаем запись с serialno: S222, начинается на 'S'.
2025-07-08 17:03:58,552 - WARNING - Пропускаем запись с serialno: S153, начинается на 'S'.
2025-07-08 17:03:58,552 - WARNING - Пропускаем запись с serialno: S33, начинается на 'S'.
2025-07-08 17:03:58,553 - WARNING - Пропускаем запись с serialno: S124, начинается на 'S'.
2025-07-08 17:03:58,553 - WARNING - Пропускаем запись с serialno: S188, начинается на 'S'.
2025-07-08 17:03:58,553 - WARNING - Пропускаем запись с serialno: S227, начинается на 'S'.
2025-07-08 17:03:58,553 - WARNING - Пропускаем запись с serialno: S156, начинается на 'S'.
2025-07-08 17:03:58,554 - WARNING - Пропускаем запись с serialno: S8, начинается на 'S'.
2025-07-08 17:03:58,554 - WARNING - Пропускаем запись с serialno: S186, начинается на 'S'.
2025-07-08 17:03:58,555 - WARNING - Пропускаем запись с serialno: S229, начинается на 'S'.
2025-07-08 17:03:58,555 - WARNING - Пропускаем запись с serialno: S158, начинается на 'S'.
2025-07-08 17:03:58,556 - WARNING - Пропускаем запись с serialno: S129, начинается на 'S'.
2025-07-08 17:03:58,556 - WARNING - Пропускаем запись с serialno: S127, начинается на 'S'.
2025-07-08 17:03:58,556 - WARNING - Пропускаем запись с serialno: S224, начинается на 'S'.
2025-07-08 17:03:58,557 - WARNING - Пропускаем запись с serialno: S155, начинается на 'S'.
