Поле,Объект Flame GPU,Источник DWH или Flame GPU,"cudf - Flame GPU
TRANSFORM"
partno_comp,Environment MacroProperty1,md_components,uint32
type_restricted,Environment MacroProperty1,md_components,multihot[u8]
common_restricted1,,,
common_restricted2,,,
trigger_interval,,,
group_by,Environment MacroProperty1,md_components,uint8
comp_number,Environment MacroProperty1,md_components,uint8
ll_mi8,Environment MacroProperty1,md_components,uint32
oh_mi8,Environment MacroProperty1,md_components,uint32
oh_threshold_mi8,Environment MacroProperty1,md_components,uint32
ll_mi17,Environment MacroProperty1,md_components,uint32
oh_mi17,Environment MacroProperty1,md_components,uint32
repair_time,Environment MacroProperty1,md_components,uint16
partout_time,Environment MacroProperty1,md_components,uint8
assembly_time,Environment MacroProperty1,md_components,uint8
br,Environment MacroProperty1,md_components,uint32
dates,Environment MacroProperty2,LoggingLayer Planes,Date
aircraft_number,Environment MacroProperty2,LoggingLayer Planes,uint32
ac_type_mask,Environment MacroProperty2,LoggingLayer Planes,multihot[u8]
daily_flight,Environment MacroProperty2,LoggingLayer Planes,uint32
status_id,Environment MacroProperty2,LoggingLayer Planes,uint8
partout_trigger,Environment MacroProperty2,LoggingLayer Planes,Date
assembly_trigger,Environment MacroProperty2,LoggingLayer Planes,Date
version_date,Environment MacroProperty2,LoggingLayer Planes,Date
version_id,Environment MacroProperty2,LoggingLayer Planes,uint8
mfg_date,Environment MacroProperty2,LoggingLayer Planes,Date
active_trigger,Environment MacroProperty2,LoggingLayer Planes,Date
version_date,Property,heli_pandas,Date
version_id,Property,heli_pandas,uint8
partseqno_i,Environment Property3,heli_pandas,uint16
psn,Environment Property3,heli_pandas,uint32
address_i,Environment Property3,heli_pandas,uint16
lease_restricted,Environment Property3,heli_pandas,uint8
status_id,Environment Property3,heli_pandas,uint8
aircraft_number,Environment Property3,heli_pandas,uint32
ac_type_mask,Environment Property3,heli_pandas,multihot[u8]
ll,Environment Property3,heli_pandas,uint32
oh,Environment Property3,heli_pandas,uint32
oh_threshold,Environment Property3,heli_pandas,uint32
sne,Environment Property3,heli_pandas,uint32
ppr,Environment Property3,heli_pandas,uint32
repair_days,Environment Property3,heli_pandas,uint16
mfg_date,Environment Property3,heli_pandas,Date
aircraft_age_years,Environment Property3,heli_pandas,uint8
dates,Environment MacroProperty4,flight_program_ac,Date
ops_counter_mi8,Environment MacroProperty4,flight_program_ac,uint16
ops_counter_mi17,Environment MacroProperty4,flight_program_ac,uint16
ops_counter_total,Environment MacroProperty4,flight_program_ac,uint16
new_counter_mi17,Environment MacroProperty4,flight_program_ac,uint8
trigger_program_mi8,Environment MacroProperty4,flight_program_ac,int8
trigger_program_mi17,Environment MacroProperty4,flight_program_ac,int8
trigger_program,Environment MacroProperty4,flight_program_ac,int8
dates,Environment MacroProperty5,flight_program_fl,uint16
aircraft_number,Environment MacroProperty5,flight_program_fl,uint16
ac_typ_mask,Environment MacroProperty5,flight_program_fl,multihot[u8]
daily_hours,Environment MacroProperty5,flight_program_fl,uint32
ops_counter_mi8,LoggingLayer,LoggingLayer Main,uint16
ops_counter_mi17,LoggingLayer,LoggingLayer Main,uint16
ops_counter_total,LoggingLayer,LoggingLayer Main,uint16
hbs_count,LoggingLayer,LoggingLayer Main,uint16
repair_count,LoggingLayer,LoggingLayer Main,uint16
total_operable,LoggingLayer,LoggingLayer Main,uint16
entry_count,LoggingLayer,LoggingLayer Main,uint16
exit_count,LoggingLayer,LoggingLayer Main,uint16
into_repair,LoggingLayer,LoggingLayer Main,uint16
complete_repair,LoggingLayer,LoggingLayer Main,uint16
remain_repair,LoggingLayer,LoggingLayer Main,float32
remain,LoggingLayer,LoggingLayer Main,float32
midlife_repair,LoggingLayer,LoggingLayer Main,float32
midlife,LoggingLayer,LoggingLayer Main,float32
hours,LoggingLayer,LoggingLayer Main,float32
year,LoggingLayer,LoggingLayer Main,uint16
month,LoggingLayer,LoggingLayer Main,uint8
quarter,LoggingLayer,LoggingLayer Main,uint8
week,LoggingLayer,LoggingLayer Main,uint8
control_ops,LoggingLayer,LoggingLayer Main,uint8
control_config,LoggingLayer,LoggingLayer Main,uint8
control_fh,LoggingLayer,LoggingLayer Main,unit32
