Table ac_average_period;;;;
"Table to save aircraft average cycles, hours etc. for a certain period of time";;;;
Keys;Name;Mime-Type;Type;Description
[P];periodno_i;INT;int;"primary key. running number."
[I];daily_averageno_i;INT;int;"foreign key. Link to ac, dimension, position"
;start_date;INT;int;"start of period. 0 means infinity."
;end_date;INT;int;"end of period. 0 means infinity."
;average;DOUBLE;float;"daily average value. If NULL use reference dimension and factor."
[I];reference_counterno_i;CO;int;"The reference to the counter used for the average calculation."
;factor;DOUBLE;float;"Get the average with the reference dimension and the factor."
;remarks;ALPHANUM;unitext(1073741823);"Remarks for an average entry"
;mutation;DATE;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE;int;"The creation date of this record as AMOS date."
Table ac_cert;;;;
"Stores the certificates for the aircraft in case there is more than one. E.g. for simulators or helicopters depending on the configuration.";;;;
Keys;Name;Mime-Type;Type;Description
[P];ac_certno_i;INT;int;"Primary key of the table."
[I];aircraftno_i;AC_INT;int;"Link to the aircraft"
;issue_date;DATE;int;"The issue date of the certificate."
;exp_date;DATE;int;"The expiry date of the certificate"
[I];cert_no;ALPHANUM;univarchar(128);"The certificate number."
[I];mission_config;ACMICF;int;"The main mission configuration that is linked to this certificate. If the device is currently in this config (other on top are also allowed) then this certificate is applicable."
;mutation;DATE_INT;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE_INT;int;"The creation date of this record as AMOS date."
Table ac_conf_locid_rule;;;;
"The table that shows all the defined rules available for Locids set in a specific configuration";;;;
Keys;Name;Mime-Type;Type;Description
[I];config_id;INT;int;"Identifier of the configuration that owns this rule"
;description;ALPHANUM;univarchar(70);"Description of the rule"
;rule_name;ALPHANUM;univarchar(36);"The name of the defined rule"
[P];ac_conf_locid_ruleno_i;INT;int;"Primary key of the table"
;mutation;DATE_INT;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE_INT;int;"The creation date of this record as AMOS date."
Table ac_daily_average;;;;
"Averages of hours/cycles for an aircraft";;;;
Keys;Name;Mime-Type;Type;Description
[P];daily_averageno_i;INT;int;"internal primary key"
[U,I];counter_defno_i;CO_DEF;int;"The reference to the counter definition where the counter code (former dimension/scale) is stored."
[U];position;ALPHANUM;univarchar(14);"position on the aircraft"
[U];ac_register;AC;univarchar(6);"aircraft"
;mutation;DATE;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE;int;"The creation date of this record as AMOS date."
Table ac_frozen_flights;;;;
"This table contains data about frozen scheduled flights. This information is shown in the program ""Line Maintenance Manager"".";;;;
Keys;Name;Mime-Type;Type;Description
;arrival_stand;ALPHANUM;univarchar(6);"Information about the location / stand of the aircraft after arrival."
;parking_stand;ALPHANUM;univarchar(6);"A position where the aircraft is parked between landing and next takeoff."
;departure_stand;ALPHANUM;univarchar(6);"Information about the location / stand of the aircraft before departure."
;fn_suffix;ALPHANUM;univarchar(1);"Suffix which is appended to the usual flight number when it is delayed in order to help on distinction with regular flights."
[P];legno_i;LEG;int;"AMOS-wide unique identifier for a leg"
[I,I];ac_registr;AC;univarchar(6);"Aircraft registration of the scheduled flight"
;fn_carrier;ALPHANUM;univarchar(3);"Operator part of the flight number of the scheduled flight."
;fn_number;INT;int;"Number part of the flight number of the scheduled flight."
;service_type;ALPHANUM;univarchar(1);"Standard code, which identifies the purpose of the leg, e.g. J = Service Normal; C = Charter; P = Ferry; T = Technical Test; K = Training"
[I,I];sched_departure_date;DATE_INT;int;"Scheduled departure date of the scheduled flight"
;sched_departure_time;TIME;int;"Scheduled departure time of the scheduled flight, in minutes"
;estim_departure_date;DATE_INT;int;"Estimated departure date of the scheduled flight. Fill in, if you know that there is a delay. The A/C Browser can use this information."
;estim_departure_time;TIME;int;"Estimated departure time of the scheduled flight, in minutes. Fill in, if you know that there is a delay. The A/C Browser can use this information."
;sched_departure_airport;STA;univarchar(4);"Scheduled departure airport of the scheduled flight"
[I,I];sched_arrival_date;DATE_INT;int;"Scheduled arrival date of the scheduled flight"
;sched_arrival_time;TIME;int;"Scheduled arrival time of the scheduled flight"
;estim_arrival_date;DATE_INT;int;"Estimated arrival date of the scheduled flight. Fill in, if you know that there is a delay. The A/C Browser can use this information."
;estim_arrival_time;TIME;int;"Estimated arrival time of the scheduled flight. Fill in, if you know that there is a delay. The A/C Browser can use this information."
;sched_arrival_airport;STA;univarchar(4);"Scheduled arrival airport of the scheduled flight"
;estim_leg_duration;INT;int;"The estimated leg duration for this leg, calculated in minutes. Note, that this value can be taken into account for matters of forecast calculation. The suggested strategy for this value is like this: If one knows roughly about the usual raw flight time (i.e. the difference in minutes between the value of landing date time and the value of airborne date time) of this scheduled leg, then this particular value is used. Otherwise, the difference in minutes between the value ""sched_arrival_date_time"" and ""sched_departure_date_time"" is used."
;leg_cycles;INT;int;"Number of cycles for the scheduled flight (touchdowns)"
;sched_tah_at_arrival;TIME_AMO;int;"Calculated total aircraft hours after touchdown of the scheduled flight, in minutes"
;sched_tac_at_arrival;INT;int;"Calculated total aircraft cycles after touchdown of the scheduled flight"
;mutation;DATE;int;"The mutation date of this record as AMOS date."
;mutator;SG;univarchar(8);"The AMOS user who changed this record."
;status;INT;int;"The status of the record. This column has a different meaning for every table."
;mutation_time;TIME;int;"The time when this record has been added or changed in milliseconds since the start of the day."
;created_by;SG;univarchar(8);"The AMOS user who created this record."
;created_date;DATE;int;"The creation date of this record as AMOS date."
Table ac_future_flights;;;;
"This table contains data about planned scheduled flights. This information is e.g. shown in the programs ""A/C Browser"" and ""Workpackage Browser"".";;;;
Keys;Name;Mime-Type;Type;Description
;ext_system_leg_id;INT;int;"External key to uniquely identify this leg in the data delivering legacy system."
;fn_suffix;ALPHANUM;univarchar(1);"Suffix which is appended to the usual flight number when it is delayed in order to help on distinction with regular flights."
;ssim_flight_identifier;ALPHANUM;univarchar(20);"identifies legs that came in one ASM message"
[P];legno_i;LEG;int;"AMOS-wide unique identifier for a leg"
[I,I];ac_registr;AC;univarchar(6);"Aircraft registration of the scheduled flight"
;fn_carrier;ALPHANUM;univarchar(3);"Operator part of the flight number of the scheduled flight."
;fn_number;INT;int;"Number part of the flight number of the scheduled flight."
;service_type;ALPHANUM;univarchar(1);"Standard code, which identifies the purpose of the leg, e.g. J = Service Normal; C = Charter; P = Ferry; T = Technical Test; K = Training"
[I,I];sched_departure_date;DATE_INT;int;"Scheduled departure date of the scheduled flight"
;sched_departure_time;TIME;int;"Scheduled departure time of the scheduled flight, in minutes"
;estim_departure_date;DATE_INT;int;"Estimated departure date of the scheduled flight. Fill in, if you know that there is a delay. The A/C Browser can use this information."
;estim_departure_time;TIME;int;"Estimated departure time of the scheduled flight, in minutes. Fill in, if you know that there is a delay. The A/C Browser can use this information."
;sched_departure_airport;STA;univarchar(4);"Scheduled departure airport of the scheduled flight"
[I,I];sched_arrival_date;DATE_INT;int;"Scheduled arrival date of the scheduled flight"
;sched_arrival_time;TIME;int;"Scheduled arrival time of the scheduled flight"
;estim_arrival_date;DATE_INT;int;"Estimated arrival date of the scheduled flight. Fill in, if you know that there is a delay. The A/C Browser can use this information."
;estim_arrival_time;TIME;int;"Estimated arrival time of the scheduled flight. Fill in, if you know that there is a delay. The A/C Browser can use this information."
;sched_arrival_airport;STA;univarchar(4);"Scheduled arrival airport of the scheduled flight"
;estim_leg_duration;INT;int;"The estimated leg duration for this leg, calculated in minutes. Note, that this value can be taken into account for matters of forecast calculation. The suggested strategy for this value is like this: If one knows roughly about the usual raw flight time (i.e. the difference in minutes between the value of landing date time and the value of airborne date time) of this scheduled leg, then this particular value is used. Otherwise, the difference in minutes between the value ""sched_arrival_date_time"" and ""sched_departure_date_time"" is used."
;leg_cycles;INT;int;"Number of cycles for the scheduled flight (touchdowns)"
