2025-02-09 17:42:58,820 - INFO - Извлечено 420 записей из OlapCube_VNV и 185 записей из Vygruzka.
2025-02-09 17:42:58,823 - WARNING - Пропускаем запись с serialno: S122, начинается на 'S'.
2025-02-09 17:42:58,824 - WARNING - Пропускаем запись с serialno: S29, начинается на 'S'.
2025-02-09 17:42:58,827 - WARNING - Пропускаем запись с serialno: S24, начинается на 'S'.
2025-02-09 17:42:58,828 - WARNING - Пропускаем запись с serialno: S92, начинается на 'S'.
2025-02-09 17:42:58,836 - WARNING - Пропускаем запись с serialno: S67, начинается на 'S'.
2025-02-09 17:42:58,838 - WARNING - Пропускаем запись с serialno: S180, начинается на 'S'.
2025-02-09 17:42:58,841 - WARNING - Пропускаем запись с serialno: S221, начинается на 'S'.
2025-02-09 17:42:58,844 - WARNING - Пропускаем запись с serialno: S150, начинается на 'S'.
2025-02-09 17:42:58,846 - WARNING - Пропускаем запись с serialno: S40, начинается на 'S'.
2025-02-09 17:42:58,849 - WARNING - Пропускаем запись с serialno: S70, начинается на 'S'.
2025-02-09 17:42:58,851 - WARNING - Пропускаем запись с serialno: S121, начинается на 'S'.
2025-02-09 17:42:58,853 - WARNING - Пропускаем запись с serialno: S57, начинается на 'S'.
2025-02-09 17:42:58,856 - WARNING - Пропускаем запись с serialno: S183, начинается на 'S'.
2025-02-09 17:42:58,858 - WARNING - Пропускаем запись с serialno: S88, начинается на 'S'.
2025-02-09 17:42:58,860 - WARNING - Пропускаем запись с serialno: S14, начинается на 'S'.
2025-02-09 17:42:58,862 - WARNING - Пропускаем запись с serialno: S85, начинается на 'S'.
2025-02-09 17:42:58,864 - WARNING - Пропускаем запись с serialno: S19, начинается на 'S'.
2025-02-09 17:42:58,866 - WARNING - Пропускаем запись с serialno: S222, начинается на 'S'.
2025-02-09 17:42:58,868 - WARNING - Пропускаем запись с serialno: S33, начинается на 'S'.
2025-02-09 17:42:58,871 - WARNING - Пропускаем запись с serialno: S153, начинается на 'S'.
2025-02-09 17:42:58,874 - WARNING - Пропускаем запись с serialno: S124, начинается на 'S'.
2025-02-09 17:42:58,877 - WARNING - Пропускаем запись с serialno: S188, начинается на 'S'.
2025-02-09 17:42:58,880 - WARNING - Пропускаем запись с serialno: S8, начинается на 'S'.
2025-02-09 17:42:58,883 - WARNING - Пропускаем запись с serialno: S227, начинается на 'S'.
2025-02-09 17:42:58,885 - WARNING - Пропускаем запись с serialno: S156, начинается на 'S'.
2025-02-09 17:42:58,887 - WARNING - Пропускаем запись с serialno: S186, начинается на 'S'.
2025-02-09 17:42:58,889 - WARNING - Пропускаем запись с serialno: S229, начинается на 'S'.
2025-02-09 17:42:58,891 - WARNING - Пропускаем запись с serialno: S158, начинается на 'S'.
2025-02-09 17:42:58,894 - WARNING - Пропускаем запись с serialno: S129, начинается на 'S'.
2025-02-09 17:42:58,896 - WARNING - Пропускаем запись с serialno: S127, начинается на 'S'.
2025-02-09 17:42:58,898 - WARNING - Пропускаем запись с serialno: S155, начинается на 'S'.
2025-02-09 17:42:58,899 - WARNING - Пропускаем запись с serialno: S224, начинается на 'S'.
2025-02-09 17:42:58,900 - WARNING - Пропускаем запись с serialno: S185, начинается на 'S'.
2025-02-09 17:42:58,902 - WARNING - Пропускаем запись с serialno: S117, начинается на 'S'.
2025-02-09 17:42:58,903 - WARNING - Пропускаем запись с serialno: S119, начинается на 'S'.
2025-02-09 17:42:58,909 - WARNING - Пропускаем запись с serialno: S214, начинается на 'S'.
2025-02-09 17:42:58,912 - WARNING - Пропускаем запись с serialno: S165, начинается на 'S'.
2025-02-09 17:42:58,915 - WARNING - Пропускаем запись с serialno: S114, начинается на 'S'.
2025-02-09 17:42:58,917 - WARNING - Пропускаем запись с serialno: S219, начинается на 'S'.
2025-02-09 17:42:58,919 - WARNING - Пропускаем запись с serialno: S168, начинается на 'S'.
2025-02-09 17:42:58,920 - WARNING - Пропускаем запись с serialno: S217, начинается на 'S'.
2025-02-09 17:42:58,922 - WARNING - Пропускаем запись с serialno: S166, начинается на 'S'.
2025-02-09 17:42:58,923 - WARNING - Пропускаем запись с serialno: S54, начинается на 'S'.
2025-02-09 17:42:58,925 - WARNING - Пропускаем запись с serialno: S73, начинается на 'S'.
2025-02-09 17:42:58,927 - WARNING - Пропускаем запись с serialno: S111, начинается на 'S'.
2025-02-09 17:42:58,929 - WARNING - Пропускаем запись с serialno: S59, начинается на 'S'.
2025-02-09 17:42:58,931 - WARNING - Пропускаем запись с serialno: S86, начинается на 'S'.
2025-02-09 17:42:58,932 - WARNING - Пропускаем запись с serialno: S30, начинается на 'S'.
2025-02-09 17:42:58,933 - WARNING - Пропускаем запись с serialno: S163, начинается на 'S'.
2025-02-09 17:42:58,935 - WARNING - Пропускаем запись с serialno: S212, начинается на 'S'.
2025-02-09 17:42:58,936 - WARNING - Пропускаем запись с serialno: S17, начинается на 'S'.
2025-02-09 17:42:58,937 - WARNING - Пропускаем запись с serialno: S27, начинается на 'S'.
2025-02-09 17:42:58,938 - WARNING - Пропускаем запись с serialno: S91, начинается на 'S'.
2025-02-09 17:42:58,940 - WARNING - Пропускаем запись с serialno: S112, начинается на 'S'.
2025-02-09 17:42:58,942 - WARNING - Пропускаем запись с serialno: S69, начинается на 'S'.
2025-02-09 17:42:58,944 - WARNING - Пропускаем запись с serialno: S160, начинается на 'S'.
2025-02-09 17:42:58,946 - WARNING - Пропускаем запись с serialno: S211, начинается на 'S'.
2025-02-09 17:42:58,947 - WARNING - Пропускаем запись с serialno: S43, начинается на 'S'.
2025-02-09 17:42:58,949 - WARNING - Пропускаем запись с serialno: S64, начинается на 'S'.
2025-02-09 17:42:58,951 - WARNING - Пропускаем запись с serialno: S36, начинается на 'S'.
2025-02-09 17:42:58,953 - WARNING - Пропускаем запись с serialno: S103, начинается на 'S'.
2025-02-09 17:42:58,954 - WARNING - Пропускаем запись с serialno: S80, начинается на 'S'.
2025-02-09 17:42:58,956 - WARNING - Пропускаем запись с serialno: S11, начинается на 'S'.
2025-02-09 17:42:58,958 - WARNING - Пропускаем запись с serialno: S78, начинается на 'S'.
2025-02-09 17:42:58,960 - WARNING - Пропускаем запись с serialno: S52, начинается на 'S'.
2025-02-09 17:42:58,961 - WARNING - Пропускаем запись с serialno: S200, начинается на 'S'.
2025-02-09 17:42:58,963 - WARNING - Пропускаем запись с serialno: S171, начинается на 'S'.
2025-02-09 17:42:58,964 - WARNING - Пропускаем запись с serialno: S75, начинается на 'S'.
2025-02-09 17:42:58,965 - WARNING - Пропускаем запись с serialno: S45, начинается на 'S'.
2025-02-09 17:42:58,967 - WARNING - Пропускаем запись с serialno: S100, начинается на 'S'.
2025-02-09 17:42:58,968 - WARNING - Пропускаем запись с serialno: S62, начинается на 'S'.
2025-02-09 17:42:58,969 - WARNING - Пропускаем запись с serialno: S48, начинается на 'S'.
2025-02-09 17:42:58,973 - WARNING - Пропускаем запись с serialno: S97, начинается на 'S'.
2025-02-09 17:42:58,975 - WARNING - Пропускаем запись с serialno: S21, начинается на 'S'.
2025-02-09 17:42:58,976 - WARNING - Пропускаем запись с serialno: S203, начинается на 'S'.
2025-02-09 17:42:58,978 - WARNING - Пропускаем запись с serialno: S172, начинается на 'S'.
2025-02-09 17:42:58,979 - WARNING - Пропускаем запись с serialno: S105, начинается на 'S'.
2025-02-09 17:42:58,981 - WARNING - Пропускаем запись с serialno: S4, начинается на 'S'.
2025-02-09 17:42:58,982 - WARNING - Пропускаем запись с serialno: S177, начинается на 'S'.
2025-02-09 17:42:58,983 - WARNING - Пропускаем запись с serialno: S206, начинается на 'S'.
2025-02-09 17:42:58,984 - WARNING - Пропускаем запись с serialno: S179, начинается на 'S'.
2025-02-09 17:42:58,986 - WARNING - Пропускаем запись с serialno: S208, начинается на 'S'.
2025-02-09 17:42:58,988 - WARNING - Пропускаем запись с serialno: S108, начинается на 'S'.
2025-02-09 17:42:58,989 - WARNING - Пропускаем запись с serialno: S106, начинается на 'S'.
2025-02-09 17:42:58,991 - WARNING - Пропускаем запись с serialno: S7, начинается на 'S'.
2025-02-09 17:42:58,993 - WARNING - Пропускаем запись с serialno: S205, начинается на 'S'.
2025-02-09 17:42:58,994 - WARNING - Пропускаем запись с serialno: S174, начинается на 'S'.
2025-02-09 17:42:58,996 - WARNING - Пропускаем запись с serialno: S3, начинается на 'S'.
2025-02-09 17:42:58,997 - WARNING - Пропускаем запись с serialno: S136, начинается на 'S'.
2025-02-09 17:42:58,998 - WARNING - Пропускаем запись с serialno: S138, начинается на 'S'.
2025-02-09 17:42:58,999 - WARNING - Пропускаем запись с serialno: S194, начинается на 'S'.
2025-02-09 17:42:59,000 - WARNING - Пропускаем запись с serialno: S144, начинается на 'S'.
2025-02-09 17:42:59,002 - WARNING - Пропускаем запись с serialno: S235, начинается на 'S'.
2025-02-09 17:42:59,003 - WARNING - Пропускаем запись с serialno: S135, начинается на 'S'.
2025-02-09 17:42:59,004 - WARNING - Пропускаем запись с serialno: S149, начинается на 'S'.
2025-02-09 17:42:59,006 - WARNING - Пропускаем запись с serialno: S197, начинается на 'S'.
2025-02-09 17:42:59,007 - WARNING - Пропускаем запись с serialno: S147, начинается на 'S'.
2025-02-09 17:42:59,008 - WARNING - Пропускаем запись с serialno: S199, начинается на 'S'.
2025-02-09 17:42:59,009 - WARNING - Пропускаем запись с serialno: S61, начинается на 'S'.
2025-02-09 17:42:59,011 - WARNING - Пропускаем запись с serialno: S46, начинается на 'S'.
2025-02-09 17:42:59,012 - WARNING - Пропускаем запись с serialno: S130, начинается на 'S'.
2025-02-09 17:42:59,013 - WARNING - Пропускаем запись с serialno: S99, начинается на 'S'.
2025-02-09 17:42:59,014 - WARNING - Пропускаем запись с serialno: S142, начинается на 'S'.
2025-02-09 17:42:59,015 - WARNING - Пропускаем запись с serialno: S233, начинается на 'S'.
2025-02-09 17:42:59,016 - WARNING - Пропускаем запись с serialno: S192, начинается на 'S'.
2025-02-09 17:42:59,017 - WARNING - Пропускаем запись с serialno: S94, начинается на 'S'.
2025-02-09 17:42:59,018 - WARNING - Пропускаем запись с serialno: S22, начинается на 'S'.
2025-02-09 17:42:59,019 - WARNING - Пропускаем запись с serialno: S12, начинается на 'S'.
2025-02-09 17:42:59,019 - WARNING - Пропускаем запись с serialno: S38, начинается на 'S'.
2025-02-09 17:42:59,020 - WARNING - Пропускаем запись с serialno: S35, начинается на 'S'.
2025-02-09 17:42:59,021 - WARNING - Пропускаем запись с serialno: S133, начинается на 'S'.
2025-02-09 17:42:59,022 - WARNING - Пропускаем запись с serialno: S83, начинается на 'S'.
2025-02-09 17:42:59,023 - WARNING - Пропускаем запись с serialno: S141, начинается на 'S'.
2025-02-09 17:42:59,024 - WARNING - Пропускаем запись с serialno: S230, начинается на 'S'.
2025-02-09 17:42:59,025 - WARNING - Пропускаем запись с serialno: S76, начинается на 'S'.
2025-02-09 17:42:59,028 - WARNING - Пропускаем запись с serialno: S191, начинается на 'S'.
2025-02-09 17:42:59,030 - WARNING - Пропускаем запись с serialno: S51, начинается на 'S'.
2025-02-09 17:42:59,031 - WARNING - Пропускаем запись с serialno: S125, начинается на 'S'.
2025-02-09 17:42:59,031 - WARNING - Пропускаем запись с serialno: S187, начинается на 'S'.
2025-02-09 17:42:59,032 - WARNING - Пропускаем запись с serialno: S228, начинается на 'S'.
2025-02-09 17:42:59,033 - WARNING - Пропускаем запись с serialno: S159, начинается на 'S'.
2025-02-09 17:42:59,034 - WARNING - Пропускаем запись с serialno: S9, начинается на 'S'.
2025-02-09 17:42:59,035 - WARNING - Пропускаем запись с serialno: S189, начинается на 'S'.
2025-02-09 17:42:59,036 - WARNING - Пропускаем запись с serialno: S226, начинается на 'S'.
2025-02-09 17:42:59,037 - WARNING - Пропускаем запись с serialno: S157, начинается на 'S'.
2025-02-09 17:42:59,038 - WARNING - Пропускаем запись с serialno: S126, начинается на 'S'.
2025-02-09 17:42:59,039 - WARNING - Пропускаем запись с serialno: S128, начинается на 'S'.
2025-02-09 17:42:59,040 - WARNING - Пропускаем запись с serialno: S184, начинается на 'S'.
2025-02-09 17:42:59,042 - WARNING - Пропускаем запись с serialno: S154, начинается на 'S'.
2025-02-09 17:42:59,043 - WARNING - Пропускаем запись с serialno: S225, начинается на 'S'.
2025-02-09 17:42:59,044 - WARNING - Пропускаем запись с serialno: S39, начинается на 'S'.
2025-02-09 17:42:59,046 - WARNING - Пропускаем запись с serialno: S13, начинается на 'S'.
2025-02-09 17:42:59,047 - WARNING - Пропускаем запись с serialno: S82, начинается на 'S'.
2025-02-09 17:42:59,049 - WARNING - Пропускаем запись с serialno: S34, начинается на 'S'.
2025-02-09 17:42:59,050 - WARNING - Пропускаем запись с serialno: S123, начинается на 'S'.
2025-02-09 17:42:59,051 - WARNING - Пропускаем запись с serialno: S77, начинается на 'S'.
2025-02-09 17:42:59,052 - WARNING - Пропускаем запись с serialno: S220, начинается на 'S'.
2025-02-09 17:42:59,054 - WARNING - Пропускаем запись с serialno: S151, начинается на 'S'.
2025-02-09 17:42:59,055 - WARNING - Пропускаем запись с serialno: S50, начинается на 'S'.
2025-02-09 17:42:59,055 - WARNING - Пропускаем запись с serialno: S181, начинается на 'S'.
2025-02-09 17:42:59,057 - WARNING - Пропускаем запись с serialno: S60, начинается на 'S'.
2025-02-09 17:42:59,059 - WARNING - Пропускаем запись с serialno: S120, начинается на 'S'.
2025-02-09 17:42:59,060 - WARNING - Пропускаем запись с serialno: S47, начинается на 'S'.
2025-02-09 17:42:59,061 - WARNING - Пропускаем запись с serialno: S152, начинается на 'S'.
2025-02-09 17:42:59,062 - WARNING - Пропускаем запись с serialno: S223, начинается на 'S'.
